[20:04:18] New map: gm_csgoagency
[20:04:50] Server is shutting down/changing levels.



[20:05:14] New map: gm_csgoagency
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f4.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[20:05:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card3.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15_f4.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_trolley01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate1x1.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone_p1.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p8.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/radio.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p8.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/mp_office_03c/accessories/award_gold.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
