<Logging continued from "data/ulx_logs/09-11-24.txt">
[00:00:39] Server is shutting down/changing levels.



[00:00:58] New map: bf_arid
[00:01:13] Client "Oldnikos" connected.
[00:01:13] Client "Oldnikos" connected.
[00:01:23] Client "василий каратаев" spawned in server <STEAM_0:0:814052183> (took 34 seconds).
[00:01:58] Client "Oldnikos" spawned in server <STEAM_0:0:456158340> (took 45 seconds).
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_curve90x2.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_curve90x2.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_curve90x2.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_panel2x4.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_wire2x2b.mdl
[00:01:59] василий каратаев<STEAM_0:0:814052183> spawned model models/props_phx/construct/wood/wood_curve90x2.mdl
