[00:41:12] New map: bf_arid
[00:42:16] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_machinepistol
[00:42:49] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_pz1bison
[00:45:19] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_sherman_m4a3
[00:45:34] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t34e
[00:45:46] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t34e
[00:46:04] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_pz3ro_l
[00:46:13] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t70
[00:46:30] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t34_57
[00:46:43] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t34_43
[00:46:46] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t34_57
[00:47:00] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_t26
[00:47:08] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_renaultft_m
[00:47:33] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_sleepingbag
[00:47:44] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_rus_spawnbase
[00:47:46] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_rus_spawnbase
[00:48:37] RusLanConnection<STEAM_0:0:238810681> spawned model models/diggercars/pz2/wespe_dead.mdl
[00:48:40] RusLanConnection<STEAM_0:0:238810681> spawned model models/diggercars/t34/t34_1941.mdl
[00:48:42] RusLanConnection<STEAM_0:0:238810681> spawned model models/diggercars/t34/t34_dead.mdl
[00:48:50] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_window_c.mdl
[00:48:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall01.mdl
[00:48:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_full.mdl
[00:49:22] Server is shutting down/changing levels.



[00:49:42] New map: bf_arid
[00:52:17] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall01.mdl
[00:52:19] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stilted_foundation02.mdl
