[19:16:15] New map: gm_sro
[19:16:57] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:17:02] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:17:30] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:17:58] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:17:59] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:18:00] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:18:13] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:18:16] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:18:19] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:18:22] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:19:34] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:20:24] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/furniturewashingmachine001a.mdl
[19:20:27] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:20:28] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:20:42] RusLanConnection set the hp for Themself to 200
[19:21:20] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[19:21:27] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[19:22:25] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
